,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,序号_y,名称_y,最新价_y,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比,a1,MA5,MA10,MA20,MA30,MA60,MA5_1,MA10_1,MA20_1,MA30_1,MA60_1,MA5_score,MA10_score,MA20_score,MA30_score,MA60_score,T_MA5_score,T_MA10_score,T_MA20_score,T_MA30_score,T_MA60_score
3217,3218,601995,中金公司,49.03,-0.1,-0.05,86731.0,425543360.0,0.96,49.39,48.92,49.1,49.08,0.8,1.63,23.81,3.25,4422.0,中金公司,49.03,-0.1,-36147786.0,-8.49,-39217321.0,-9.22,3069535.0,0.72,7442185.0,1.75,28705601.0,6.75,0.0,49.08,49.624,50.6845,50.13,49.80733333333333,49.112,49.765,50.727,50.11333333333334,49.918,5.0,0.0,0.0,0.0,0.0,5.0,10.0,20.0,30.0,60.0
3218,3219,300670,大烨智能,9.71,-0.1,-0.01,28424.0,27718557.0,1.03,9.81,9.71,9.72,9.72,0.72,1.34,125.64,3.31,1879.0,大烨智能,9.71,-0.1,85586.0,0.31,-1020600.0,-3.68,1106186.0,3.99,-2532113.0,-9.14,2446527.0,8.83,7.35837137356738e-17,9.728000000000002,9.733,10.1995,10.645666666666667,10.6745,9.71,9.752,10.239500000000001,10.708666666666666,10.68,5.0,10.0,0.0,0.0,0.0,5.0,10.0,20.0,30.0,60.0
3219,3220,603289,泰瑞机器,9.67,-0.1,-0.01,17318.0,16763936.0,1.03,9.75,9.65,9.72,9.68,0.55,0.65,16.09,2.16,2110.0,泰瑞机器,9.67,-0.1,-155292.0,-0.93,0.0,0.0,-155292.0,-0.93,2258453.0,13.47,-2103161.0,-12.55,0.0,9.564,9.55,9.5125,9.539666666666667,9.252333333333333,9.506,9.555000000000001,9.4925,9.532666666666668,9.245333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3220,3221,601921,浙版传媒,9.63,-0.1,-0.01,86900.0,83897765.0,2.28,9.77,9.55,9.77,9.64,1.23,3.91,23.14,1.88,3425.0,浙版传媒,9.63,-0.1,-5367591.0,-6.4,-1154444.0,-1.38,-4213147.0,-5.02,4190058.0,4.99,1177534.0,1.4,0.0,9.542,9.603,9.5125,9.356,9.219333333333335,9.512,9.599,9.482,9.327666666666666,9.218,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3221,3222,603696,安记食品,9.57,-0.1,-0.01,23462.0,22419133.0,1.98,9.63,9.44,9.63,9.58,0.74,1.0,47.04,4.15,2108.0,安记食品,9.57,-0.1,-147038.0,-0.66,-86905.0,-0.39,-60133.0,-0.27,627168.0,2.8,-480129.0,-2.14,0.0,9.548,9.486,9.466,9.400333333333332,9.547833333333333,9.56,9.469,9.441500000000001,9.399333333333335,9.556833333333334,5.0,10.0,20.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
3222,3223,600821,金开新能,9.49,-0.11,-0.01,555861.0,533241392.0,4.74,9.86,9.41,9.55,9.5,0.62,5.76,32.88,3.03,4496.0,金开新能,9.49,-0.11,-47314484.0,-8.87,-10276452.0,-1.93,-37038032.0,-6.95,32934117.0,6.18,14380369.0,2.7,0.0,9.56,9.962,10.7645,10.684666666666667,10.528500000000001,9.690000000000001,10.113,10.84,10.729333333333333,10.523666666666665,5.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0
3223,3224,605298,必得科技,18.92,-0.11,-0.02,6685.0,12719702.0,1.69,19.2,18.88,18.98,18.94,0.52,2.48,26.6,2.17,1780.0,必得科技,18.92,-0.11,308614.0,2.43,0.0,0.0,308614.0,2.43,213541.0,1.68,-522155.0,-4.11,3.67918568678369e-17,18.978,19.018,18.6995,18.669999999999998,18.3465,18.908,19.006,18.654500000000002,18.662,18.3485,5.0,10.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0
3224,3225,300824,北鼎股份,18.69,-0.11,-0.02,13806.0,25824265.0,2.67,19.0,18.5,19.0,18.71,0.89,1.44,44.34,6.02,2913.0,北鼎股份,18.69,-0.11,-2447166.0,-9.48,0.0,0.0,-2447166.0,-9.48,-1678548.0,-6.5,4125714.0,15.98,0.05208670585060298,19.046,19.244999999999997,19.643,19.64766666666667,19.233166666666666,19.182000000000002,19.341,19.6625,19.675,19.235,0.0,0.0,0.0,0.0,0.0,5.0,10.0,20.0,30.0,60.0
3225,3226,603488,展鹏科技,9.13,-0.11,-0.01,19337.0,17661447.0,1.64,9.22,9.07,9.22,9.14,0.49,0.66,37.2,2.87,2271.0,展鹏科技,9.13,-0.11,-498924.0,-2.82,0.0,0.0,-498924.0,-2.82,971289.0,5.5,-472365.0,-2.67,0.0,9.200000000000001,9.068999999999999,8.842,8.885333333333334,8.384833333333335,9.186,9.052,8.820500000000001,8.866666666666667,8.35,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
3226,3227,002855,捷荣技术,9.09,-0.11,-0.01,8196.0,7441058.0,1.1,9.15,9.05,9.12,9.1,0.86,0.33,234.14,1.61,2452.0,捷荣技术,9.09,-0.11,-929814.0,-12.5,0.0,0.0,-929814.0,-12.5,648930.0,8.72,280884.0,3.77,0.0,9.072,9.055,9.000499999999999,8.979333333333333,8.663666666666668,9.042,9.044,9.002,8.965666666666666,8.661499999999998,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
