,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,序号_y,名称_y,最新价_y,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比,a1,MA5,MA10,MA20,MA30,MA60,MA5_1,MA10_1,MA20_1,MA30_1,MA60_1,MA5_score,MA10_score,MA20_score,MA30_score,MA60_score,T_MA5_score,T_MA10_score,T_MA20_score,T_MA30_score,T_MA60_score
331,332,002140,东华科技,14.69,4.11,0.58,511912.0,749321104.0,11.91,15.5,13.82,14.12,14.11,1.86,9.61,30.41,3.19,415.0,东华科技,14.69,4.11,17874093.0,2.39,-16515796.0,-2.2,34389889.0,4.59,13694070.0,1.83,-31568170.0,-4.21,0.0,14.233999999999998,13.796000000000001,13.5125,13.126666666666667,12.645000000000001,13.831999999999999,13.764,13.408000000000001,13.040999999999999,12.614,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,333,002425,凯撒文化,9.64,4.1,0.38,2346158.0,2320595328.0,7.88,10.19,9.46,10.0,9.26,4.02,24.54,28.57,1.76,4576.0,凯撒文化,9.64,4.1,-62627792.0,-2.7,-42652432.0,-1.84,-19975360.0,-0.86,-18121712.0,-0.78,80749504.0,3.48,7.35837137356738e-17,9.14,8.978,8.699000000000002,8.425666666666666,7.9526666666666666,8.937999999999999,8.873999999999999,8.59,8.375,7.906666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,334,688110,东芯股份,45.18,4.1,1.78,101977.0,459868240.0,6.38,46.42,43.65,44.28,43.4,1.38,12.03,89.15,5.36,355.0,东芯股份,45.18,4.1,22381706.0,4.87,-7563149.0,-1.64,29944855.0,6.51,-4047470.0,-0.88,-18334236.0,-3.99,0.0,44.224000000000004,44.818,,,,43.982,44.91,,,,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,335,002412,汉森制药,6.35,4.1,0.25,255564.0,161807442.0,7.05,6.5,6.07,6.12,6.1,1.11,5.18,21.12,1.86,786.0,汉森制药,6.35,4.1,6734324.0,4.16,7279866.0,4.5,-545542.0,-0.34,-4063403.0,-2.51,-2670922.0,-1.65,0.0,6.188,6.017,5.6775,5.531000000000001,5.441333333333334,6.194,5.931,5.62,5.491333333333333,5.433833333333334,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,336,002347,泰尔股份,5.09,4.09,0.2,539068.0,282432272.0,9.41,5.38,4.92,4.92,4.89,6.39,17.02,104.37,1.92,254.0,泰尔股份,5.09,4.09,32291552.0,11.43,23497048.0,8.32,8794504.0,3.11,-16101559.0,-5.7,-16189992.0,-5.73,0.0,4.9399999999999995,4.839,4.747,4.649,4.480666666666666,4.858,4.808,4.713,4.628,4.474500000000001,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,337,002386,天原股份,12.73,4.09,0.5,417042.0,527837312.0,4.01,12.81,12.32,12.37,12.23,1.28,5.34,15.23,1.8,368.0,天原股份,12.73,4.09,21654884.0,4.1,635832.0,0.12,21019052.0,3.98,31804517.0,6.03,-53459400.0,-10.13,0.0,12.436,12.672,12.5885,12.259666666666668,12.1455,12.344,12.786,12.552,12.219,12.155000000000001,5.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,338,002505,鹏都农牧,3.82,4.09,0.15,1205673.0,454014464.0,5.45,3.84,3.64,3.66,3.67,0.89,1.89,220.85,4.2,86.0,鹏都农牧,3.82,4.09,85962916.0,18.93,54630978.0,12.03,31331938.0,6.9,-37490769.0,-8.26,-48472148.0,-10.68,0.0,3.7960000000000003,3.9939999999999998,3.9975,4.018666666666666,3.6590000000000003,3.8519999999999994,3.996,4.0115,4.015666666666667,3.645166666666667,5.0,0.0,0.0,0.0,60.0,0.0,10.0,20.0,30.0,0.0
338,339,603100,川仪股份,21.16,4.08,0.83,61243.0,127232624.0,5.31,21.18,20.1,20.31,20.33,2.13,1.55,15.06,2.75,557.0,川仪股份,21.16,4.08,11674150.0,9.18,5991080.0,4.71,5683070.0,4.47,-1353881.0,-1.06,-10320270.0,-8.11,0.0,20.588,20.204,19.881,20.038,19.098166666666668,20.216,20.089999999999996,19.8065,19.996666666666666,19.053833333333333,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,340,603008,喜临门,39.03,4.08,1.53,41633.0,159174191.0,5.71,39.24,37.1,37.55,37.5,1.3,1.07,30.34,4.99,389.0,喜临门,39.03,4.08,20125101.0,12.64,5285952.0,3.32,14839149.0,9.32,-4756695.0,-2.99,-15368407.0,-9.66,0.0,38.004000000000005,37.172000000000004,35.3165,32.983666666666664,29.381666666666668,37.79600000000001,36.614999999999995,34.842,32.60266666666667,29.1245,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,341,836675,秉扬科技,9.2,4.07,0.36,16574.0,15189671.0,4.98,9.3,8.86,8.86,8.84,3.51,3.61,25.63,3.14,,,,,,,,,,,,,,,0.0,8.786,8.555,8.66,8.931,9.671833333333332,8.574000000000002,8.485,8.641499999999999,8.954666666666666,9.688833333333331,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,60.0
341,342,603669,灵康药业,9.99,4.06,0.39,42184.0,41871888.0,6.35,10.13,9.52,9.55,9.6,1.84,0.58,68.5,5.23,1115.0,灵康药业,9.99,4.06,3335498.0,7.97,1005151.0,2.4,2330347.0,5.57,-603958.0,-1.44,-2731541.0,-6.52,0.0,9.758,9.769,9.8655,9.448666666666666,8.915333333333333,9.693999999999999,9.74,9.8215,9.389999999999999,8.898,5.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,343,831768,拾比佰,12.3,4.06,0.48,14159.0,17400724.0,6.77,12.55,11.75,11.75,11.82,1.45,2.77,18.55,1.98,,,,,,,,,,,,,,,0.0,11.874,11.33,11.2155,11.713,13.754666666666669,11.574000000000002,11.178,11.175,11.762333333333334,13.806000000000001,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,344,688669,聚石化学,46.95,4.06,1.83,57929.0,273596784.0,8.38,49.48,45.7,45.89,45.12,2.11,29.1,48.51,2.96,4150.0,聚石化学,46.95,4.06,-18263551.0,-6.68,2230777.0,0.82,-20494328.0,-7.49,9388478.0,3.43,8875074.0,3.24,0.0,42.858000000000004,40.482000000000006,40.5445,39.465333333333334,37.04183333333334,41.304,39.422,40.2545,39.080333333333336,36.87533333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,345,002540,亚太科技,7.7,4.05,0.3,243892.0,182786647.0,6.22,7.79,7.33,7.39,7.4,1.36,2.72,26.44,2.02,348.0,亚太科技,7.7,4.05,22687487.0,12.41,26701372.0,14.61,-4013885.0,-2.2,-8846504.0,-4.84,-13840984.0,-7.57,0.0,7.544,7.553,7.3285,7.487,6.851166666666667,7.470000000000001,7.479000000000001,7.329000000000001,7.4913333333333325,6.817333333333333,5.0,10.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
345,346,002733,雄韬股份,23.13,4.05,0.9,353644.0,801878944.0,11.02,23.99,21.54,22.08,22.23,1.17,9.68,-1170.59,3.1,446.0,雄韬股份,23.13,4.05,16118360.0,2.01,16388342.0,2.04,-269982.0,-0.03,-16796463.0,-2.09,678103.0,0.08,0.0,22.794,22.73,22.069499999999998,21.555,19.50683333333333,23.044,22.647,22.072,21.442333333333334,19.406333333333336,5.0,10.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
346,347,600330,天通股份,16.23,4.04,0.63,325383.0,526228192.0,5.32,16.43,15.6,15.74,15.6,1.04,3.27,35.06,3.26,151.0,天通股份,16.23,4.04,52679061.0,10.01,15093933.0,2.87,37585128.0,7.14,-26560788.0,-5.05,-26118274.0,-4.96,0.0,15.966,16.344,16.508499999999998,16.43433333333333,14.877,16.04,16.371000000000002,16.456,16.496666666666666,14.784333333333333,5.0,10.0,0.0,0.0,0.0,0.0,10.0,20.0,30.0,0.0
347,348,600582,天地科技,4.38,4.04,0.17,494742.0,214820521.0,5.23,4.41,4.19,4.2,4.21,2.21,1.2,11.88,0.97,3364.0,天地科技,4.38,4.04,-4982951.0,-2.32,1778488.0,0.83,-6761439.0,-3.15,-2688267.0,-1.25,7671218.0,3.57,7.35837137356738e-17,4.264,4.251,4.239,4.233,4.216833333333334,4.228,4.235,4.2325,4.220666666666667,4.229,5.0,10.0,20.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0
348,349,300413,芒果超媒,57.22,4.04,2.22,256941.0,1458799904.0,7.05,58.08,54.2,54.9,55.0,1.65,2.76,40.55,6.36,88.0,芒果超媒,57.22,4.04,83336025.0,5.71,-23489559.0,-1.61,106825584.0,7.32,-2955328.0,-0.2,-80380690.0,-5.51,0.0,54.470000000000006,53.541,51.17,49.102,45.568999999999996,53.660000000000004,52.76899999999999,50.5355,48.76766666666666,45.38033333333333,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,350,300726,宏达电子,100.06,4.02,3.87,62387.0,616967712.0,4.83,100.84,96.19,96.19,96.19,1.74,3.4,48.39,11.19,4577.0,宏达电子,100.06,4.02,-62769954.0,-10.17,-28335193.0,-4.59,-34434761.0,-5.58,5815921.0,0.94,56954033.0,9.23,0.0,94.49,89.957,90.11,89.60266666666666,86.02533333333334,91.578,88.64099999999999,89.64849999999998,89.19666666666667,85.58383333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,351,002332,仙琚制药,13.2,4.02,0.51,228922.0,301076032.0,6.07,13.37,12.6,12.63,12.69,2.06,2.38,21.33,2.77,4443.0,仙琚制药,13.2,4.02,-37976038.0,-12.61,-119961.0,-0.04,-37856077.0,-12.57,11453163.0,3.8,26522874.0,8.81,0.0,12.771999999999998,12.568,12.205499999999999,12.166,11.808,12.658,12.416999999999998,12.131,12.136666666666667,11.7735,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,352,300465,高伟达,12.17,4.02,0.47,412543.0,496366496.0,7.52,12.38,11.5,11.74,11.7,1.88,9.23,53.98,8.42,124.0,高伟达,12.17,4.02,61098436.0,12.31,33822631.0,6.81,27275805.0,5.5,-2667233.0,-0.54,-58431202.0,-11.77,0.0,11.742,11.395,11.199000000000002,11.117333333333333,10.6015,11.468,11.276,11.133,11.070666666666666,10.567333333333332,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,353,871553,凯腾精工,5.96,4.01,0.23,14260.0,8637282.0,8.55,6.26,5.77,5.77,5.73,3.95,2.28,33.22,2.67,,,,,,,,,,,,,,,0.0,5.7,5.523000000000001,5.4455,5.565,5.951333333333333,5.558,5.4670000000000005,5.4159999999999995,5.572333333333333,5.960333333333334,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
353,354,601900,南方传媒,8.56,4.01,0.33,108606.0,92751026.0,5.47,8.69,8.24,8.34,8.23,2.93,1.21,8.23,1.1,509.0,南方传媒,8.56,4.01,13244554.0,14.28,0.0,0.0,13244554.0,14.28,-5500810.0,-5.93,-7743744.0,-8.35,0.0,8.290000000000001,8.219,8.048,7.897333333333334,7.609666666666667,8.204,8.172,7.9995,7.862,7.5885,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,355,603218,日月股份,32.95,4.01,1.27,143252.0,471913184.0,5.84,33.8,31.95,31.95,31.68,1.47,1.48,41.9,3.72,181.0,日月股份,32.95,4.01,45792078.0,9.7,29863542.0,6.33,15928536.0,3.38,-5015266.0,-1.06,-40776812.0,-8.64,0.0,32.152,32.254999999999995,33.4865,34.11366666666667,35.950833333333335,31.818,32.29,33.5385,34.32533333333333,35.93633333333333,5.0,10.0,20.0,0.0,0.0,0.0,0.0,20.0,30.0,60.0
355,356,301068,大地海洋,30.63,4.01,1.18,25271.0,76918277.0,6.15,31.2,29.39,29.7,29.45,1.38,14.1,62.63,3.57,962.0,大地海洋,30.63,4.01,4545762.0,5.91,1829585.0,2.38,2716177.0,3.53,2097171.0,2.73,-6642933.0,-8.64,0.0,29.9,30.396000000000004,30.055500000000002,30.119333333333334,28.855999999999998,29.634000000000004,30.621000000000002,29.895,30.094333333333335,28.8155,5.0,10.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
356,357,002755,奥赛康,12.73,4.0,0.49,57359.0,73552774.0,7.52,13.16,12.24,12.24,12.24,2.52,1.62,22.61,3.65,1106.0,奥赛康,12.73,4.0,3393733.0,4.61,0.0,0.0,3393733.0,4.61,-2431715.0,-3.31,-962018.0,-1.31,0.0,12.386,12.109,11.7905,11.735333333333333,11.73,12.260000000000002,12.004,11.729,11.709000000000001,11.721333333333332,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357,358,002037,保利联合,8.06,4.0,0.31,100798.0,81147816.0,5.16,8.18,7.78,7.79,7.75,2.44,3.08,43.92,1.12,803.0,保利联合,8.06,4.0,6420673.0,7.91,4277990.0,5.27,2142683.0,2.64,-16058819.0,-19.79,9638146.0,11.88,0.0,7.8340000000000005,7.772,7.4735,7.342333333333333,6.946,7.741999999999999,7.706,7.427,7.308666666666666,6.923833333333333,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,359,600886,国投电力,11.47,3.99,0.44,429602.0,489736400.0,4.81,11.55,11.02,11.06,11.03,1.45,0.62,18.53,1.82,4143.0,国投电力,11.47,3.99,-18063438.0,-3.69,21519789.0,4.39,-39583227.0,-8.08,28458741.0,5.81,-10395302.0,-2.12,1.471674274713476e-16,11.169999999999998,11.062999999999999,10.884500000000001,10.608666666666666,10.422,11.142,10.995999999999999,10.831,10.544,10.412666666666667,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,360,600896,*ST海医,5.22,3.98,0.2,166991.0,87698560.0,1.79,5.27,5.18,5.21,5.02,5.03,1.77,-50.71,2.47,1145.0,*ST海医,5.22,3.98,3040199.0,3.47,-943444.0,-1.08,3983643.0,4.54,592521.0,0.68,-3632720.0,-4.14,0.0,5.01,4.9319999999999995,5.0095,5.094666666666667,4.734333333333334,4.914,4.891,5.0085,5.098666666666667,4.721666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,361,300052,中青宝,32.66,3.98,1.25,527021.0,1674598816.0,13.85,34.18,29.83,31.35,31.41,1.63,20.18,473.13,12.04,4390.0,中青宝,32.66,3.98,-32546405.0,-1.94,12007819.0,0.72,-44554224.0,-2.66,-35639680.0,-2.13,68186064.0,4.07,0.0,32.26,32.097,33.517999999999994,33.422333333333334,29.767666666666667,32.019999999999996,32.057,33.404999999999994,33.53,29.503833333333333,5.0,10.0,20.0,30.0,0.0,0.0,0.0,20.0,30.0,0.0
361,362,830832,齐鲁华信,8.37,3.98,0.32,9716.0,8143716.0,4.35,8.5,8.15,8.15,8.05,2.8,0.89,17.13,1.6,,,,,,,,,,,,,,,0.0,8.088,7.971000000000001,7.969499999999999,8.212,8.580833333333334,7.9719999999999995,7.917,7.9545,8.235333333333333,8.584333333333332,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,60.0
362,363,600463,空港股份,8.11,3.97,0.31,167549.0,134037189.0,11.67,8.5,7.59,7.75,7.8,0.94,5.58,120.08,1.93,889.0,空港股份,8.11,3.97,5241157.0,3.91,0.0,0.0,5241157.0,3.91,1547376.0,1.15,-6788534.0,-5.06,0.0,7.744,7.573,6.8035,6.514,6.282166666666667,7.601999999999999,7.406999999999999,6.695,6.438666666666666,6.2571666666666665,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,364,300475,香农芯创,27.75,3.97,1.06,32161.0,88268529.0,6.74,28.0,26.2,26.69,26.69,1.18,0.77,62.14,7.91,3954.0,香农芯创,27.75,3.97,-12988972.0,-14.72,-7286423.0,-8.25,-5702549.0,-6.46,6620954.0,7.5,6368018.0,7.21,0.0,27.016,25.735000000000003,24.407000000000004,24.076,23.060166666666667,26.360000000000003,25.288999999999998,24.15,23.927666666666667,22.910500000000003,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,365,600011,华能国际,9.69,3.97,0.37,1461259.0,1412069968.0,4.61,9.86,9.43,9.7,9.32,0.96,1.33,145.72,2.21,55.0,华能国际,9.69,3.97,131092926.0,9.28,86110318.0,6.1,44982608.0,3.19,-55012080.0,-3.9,-76080832.0,-5.39,0.0,9.443999999999999,9.498000000000001,9.068000000000001,8.169666666666666,7.4350000000000005,9.459999999999999,9.418000000000001,8.9505,8.042,7.3935,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,366,603507,振江股份,40.9,3.97,1.56,30480.0,124540330.0,8.11,41.88,38.69,38.69,39.34,1.61,2.45,29.46,3.28,1212.0,振江股份,40.9,3.97,2563159.0,2.06,1163835.0,0.93,1399324.0,1.12,101740.0,0.08,-2664899.0,-2.14,0.48203138790281713,40.43,41.095,42.798,44.117333333333335,43.20266666666667,40.23,41.343,42.974000000000004,44.46233333333334,43.07383333333333,5.0,10.0,0.0,0.0,0.0,0.0,10.0,20.0,30.0,60.0
366,367,300634,彩讯股份,17.33,3.96,0.66,181008.0,314835840.0,6.66,17.86,16.75,16.9,16.67,2.56,4.33,55.39,3.8,394.0,彩讯股份,17.33,3.96,19094965.0,6.07,7013143.0,2.23,12081822.0,3.84,-11586148.0,-3.68,-7508818.0,-2.38,0.0,16.734,16.541999999999998,16.788999999999998,17.235666666666667,17.262166666666666,16.414,16.463,16.785,17.261,17.2625,0.0,0.0,20.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0
367,368,002918,蒙娜丽莎,28.63,3.96,1.09,49208.0,139020634.0,6.54,29.0,27.2,27.25,27.54,1.13,2.29,21.38,3.19,224.0,蒙娜丽莎,28.63,3.96,36265046.0,26.09,6129263.0,4.41,30135783.0,21.68,-13380488.0,-9.62,-22884558.0,-16.46,0.0,27.912,26.921,26.164499999999997,25.398666666666667,23.124666666666663,27.583999999999996,26.427,25.997499999999995,25.195666666666668,23.005333333333333,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,369,000155,川能动力,26.53,3.96,1.01,586648.0,1538701072.0,6.58,26.8,25.12,25.12,25.52,1.24,4.62,128.09,8.78,35.0,川能动力,26.53,3.96,168767582.0,10.97,84019934.0,5.46,84747648.0,5.51,-69582688.0,-4.52,-99184912.0,-6.45,0.0,25.996000000000002,25.389,25.9575,26.860666666666663,27.085833333333333,25.438,25.271,26.016,26.904666666666667,27.08016666666667,5.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,30.0,60.0
369,370,002458,益生股份,11.31,3.95,0.43,310861.0,349300736.0,4.69,11.36,10.85,10.85,10.88,2.19,4.6,36.85,3.33,444.0,益生股份,11.31,3.95,16228395.0,4.65,19202470.0,5.5,-2974075.0,-0.85,3884818.0,1.11,-20113213.0,-5.76,0.0,11.1,10.959999999999999,10.813500000000001,10.820666666666666,10.956166666666665,11.026,10.878,10.7745,10.818999999999999,10.954333333333333,5.0,10.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
370,371,300542,新晨科技,15.27,3.95,0.58,149238.0,225856714.0,8.3,15.63,14.41,14.55,14.69,0.94,6.21,436.07,8.59,447.0,新晨科技,15.27,3.95,16095715.0,7.13,10292647.0,4.56,5803068.0,2.57,-8069595.0,-3.57,-8026121.0,-3.55,0.0,15.028,14.551999999999998,14.085999999999999,13.874666666666666,13.500166666666667,15.026,14.436000000000002,13.976999999999999,13.809666666666667,13.4905,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,372,002597,金禾实业,51.35,3.95,1.95,58827.0,300102576.0,5.36,51.75,49.1,49.67,49.4,1.39,1.05,30.28,5.54,4049.0,金禾实业,51.35,3.95,-15374931.0,-5.12,-765923.0,-0.26,-14609008.0,-4.87,-7455065.0,-2.48,22829995.0,7.61,0.0,49.832,49.059,48.935,49.63333333333333,47.33533333333333,49.518,48.58,48.8925,49.54966666666667,47.18633333333333,5.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
372,373,688628,优利德,29.29,3.94,1.11,25642.0,74804532.0,6.81,29.98,28.06,28.19,28.18,1.41,9.82,24.13,3.42,1061.0,优利德,29.29,3.94,3673592.0,4.91,2040518.0,2.73,1633074.0,2.18,3807255.0,5.09,-7480848.0,-10.0,0.0,28.904000000000003,27.316000000000003,26.619,26.731333333333335,26.26516666666667,28.120000000000005,26.969,26.4435,26.63733333333333,26.245333333333335,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,374,600655,豫园股份,10.3,3.94,0.39,267328.0,273064016.0,5.65,10.45,9.89,9.92,9.91,2.53,1.66,16.69,1.2,129.0,豫园股份,10.3,3.94,58866107.0,21.56,23950466.0,8.77,34915641.0,12.79,-22182672.0,-8.12,-36683435.0,-13.43,0.0,10.09,10.058000000000002,10.040000000000001,9.903333333333334,9.936499999999999,10.036,10.023,10.003499999999999,9.888,9.939,5.0,10.0,20.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0
374,375,600280,中央商场,2.91,3.93,0.11,164935.0,47679551.0,6.43,2.98,2.8,2.82,2.8,1.59,1.45,226.84,3.52,793.0,中央商场,2.91,3.93,6560276.0,13.76,-1298003.0,-2.72,7858279.0,16.48,25308.0,0.05,-6585584.0,-13.81,0.0,2.85,2.8850000000000002,2.8395,2.8503333333333334,2.8978333333333333,2.846,2.882,2.8325,2.854,2.8995,5.0,10.0,20.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0
375,376,688116,天奈科技,149.29,3.93,5.64,33066.0,491760720.0,5.12,151.0,143.65,144.6,143.65,0.88,1.84,127.64,18.57,349.0,天奈科技,149.29,3.93,22632115.0,4.6,13383390.0,2.72,9248725.0,1.88,-12552367.0,-2.55,-10079749.0,-2.05,0.0,146.394,143.58700000000002,144.2495,149.49499999999998,152.248,144.256,142.67799999999997,144.69400000000002,150.043,152.09949999999998,5.0,0.0,20.0,30.0,0.0,0.0,0.0,0.0,30.0,60.0
376,377,600962,国投中鲁,10.61,3.92,0.4,88720.0,94107119.0,7.35,10.88,10.13,10.21,10.21,1.45,3.49,710.45,3.96,2934.0,国投中鲁,10.61,3.92,-2555808.0,-2.72,0.0,0.0,-2555808.0,-2.72,3849071.0,4.09,-1293262.0,-1.37,0.0,10.376000000000001,10.32,10.120000000000001,9.883333333333335,9.459333333333332,10.246,10.315999999999999,10.069500000000001,9.851,9.433833333333332,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,378,603328,依顿电子,8.0,3.9,0.3,374405.0,296867472.0,7.14,8.2,7.65,7.7,7.7,2.22,3.75,50.91,2.39,341.0,依顿电子,8.0,3.9,23533259.0,7.93,16469355.0,5.55,7063904.0,2.38,-9017737.0,-3.04,-14515522.0,-4.89,2.943348549426952e-16,7.706,7.4719999999999995,7.235499999999999,7.297666666666667,7.192666666666667,7.586,7.372999999999999,7.1865000000000006,7.287333333333334,7.1834999999999996,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378,379,688561,奇安信-U,87.92,3.89,3.29,21148.0,184897568.0,4.68,88.58,84.62,84.63,84.63,1.44,0.46,-38.88,6.6,285.0,奇安信-U,87.92,3.89,28035958.0,15.16,11150587.0,6.03,16885371.0,9.13,-9988512.0,-5.4,-18047446.0,-9.76,0.0,86.19800000000001,86.618,91.3235,91.92833333333334,90.73016666666668,85.916,86.807,91.62750000000001,92.12166666666667,90.685,5.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,60.0
379,380,600062,华润双鹤,13.37,3.89,0.5,217086.0,289812896.0,5.05,13.55,12.9,12.9,12.87,1.06,2.08,11.77,1.41,271.0,华润双鹤,13.37,3.89,29612256.0,10.22,12243756.0,4.22,17368500.0,5.99,-12786441.0,-4.41,-16825816.0,-5.81,0.0,13.113999999999999,12.7,12.3745,12.334333333333335,11.998,12.962,12.576,12.3085,12.279333333333334,11.976666666666665,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,381,601139,深圳燃气,8.83,3.88,0.33,357710.0,315008096.0,4.82,8.91,8.5,8.51,8.5,2.24,1.24,15.83,2.06,140.0,深圳燃气,8.83,3.88,55374366.0,17.58,18337587.0,5.82,37036779.0,11.76,-18419940.0,-5.85,-36954426.0,-11.73,0.0,8.648,8.658999999999999,8.702000000000002,8.841333333333331,9.066333333333331,8.65,8.604,8.7015,8.857666666666667,9.088166666666668,5.0,10.0,20.0,30.0,0.0,0.0,0.0,0.0,30.0,60.0
381,382,600112,*ST天成,3.48,3.88,0.13,229929.0,78741428.0,8.06,3.52,3.25,3.25,3.35,2.13,4.52,-36.13,-17.73,987.0,*ST天成,3.48,3.88,4327575.0,5.5,2161753.0,2.75,2165822.0,2.75,-2078731.0,-2.64,-2248845.0,-2.86,0.0,3.404,3.471,3.5420000000000003,3.6300000000000003,3.692,3.396,3.464,3.5524999999999998,3.6466666666666665,3.696833333333333,5.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,60.0
382,383,300018,中元股份,8.3,3.88,0.31,631823.0,537994176.0,10.89,8.99,8.12,8.28,7.99,2.54,15.6,41.85,3.43,3297.0,中元股份,8.3,3.88,-4440068.0,-0.83,19647617.0,3.65,-24087685.0,-4.48,7890045.0,1.47,-3449976.0,-0.64,0.0,8.09,7.941000000000001,7.7829999999999995,7.697,7.254,8.010000000000002,7.936000000000002,7.728,7.662,7.242333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,384,002466,天齐锂业,107.0,3.87,3.99,562120.0,5928945152.0,4.46,107.6,103.01,104.79,103.01,0.97,3.81,223.74,11.97,3.0,天齐锂业,107.0,3.87,819155600.0,13.82,805917680.0,13.59,13237920.0,0.22,-487302720.0,-8.22,-331852896.0,-5.6,1.839592843391845e-17,104.506,100.011,105.404,109.06400000000001,103.97566666666667,101.914,99.24600000000001,105.732,109.294,103.79083333333334,5.0,0.0,20.0,0.0,60.0,0.0,0.0,0.0,30.0,0.0
384,385,300859,*ST西域,22.6,3.86,0.84,18588.0,41652366.0,4.6,22.77,21.77,21.9,21.76,0.9,1.94,53.97,5.32,2416.0,*ST西域,22.6,3.86,-861721.0,-2.07,945086.0,2.27,-1806807.0,-4.34,2293244.0,5.51,-1431523.0,-3.44,0.0,21.85,20.966,20.3955,20.019000000000002,19.129,21.492,20.644,20.226000000000003,19.93066666666667,19.051166666666667,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,386,838275,驱动力,7.27,3.86,0.27,29346.0,21397715.0,8.14,7.5,6.93,7.08,7.0,3.64,6.49,28.5,4.51,,,,,,,,,,,,,,,0.0,7.004,6.656999999999999,6.5565,6.6353333333333335,6.944333333333333,6.808,6.567,6.5125,6.637666666666666,6.9425,5.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
